description,subcategories,colors,sizes,genders
"Là con trai tôi hay ra ngoài vận động thì mặc gì","""[đồ thể thao]""","""[ ]""","""[]""","""[Nam]"""
================Quà cáp=========================
"Mình cần mua quà gì để tặng bạn vào sinh nhật","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"Mua đồ tặng cho cháu tôi vào sinh nhật nó thì mua gì","""[Đồ thể thao, quần dài, quần tây, quần jean, áo thun, áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"Mua đồ cho cháu gái vào sinh nhật nó thì mua gì","""[Váy]""","""[]""","""[]""","""[Nữ]"""
"Tôi nên mua đồ gì cho con trai tôi mặc đi chơi tết","""[Quần tây, quần jean, áo thun, áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Tôi nên mua đồ gì cho con gái tôi mặc đi chơi tết","""[váy áo dài]""","""[]""","""[]""","""[Nữ]"""
"Bạn tôi nó đẻ con mua gì tặng cho con nó đây","""[Không có]""","""[]""","""[]""","""[]"""
"Bạn tôi nay đi dạy mà không biết mua cho nó cái gì cả","""[Quần tây, áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"Bạn tôi nay đi dạy mà không biết mua cho nó cái gì cả. Bạn tôi là nữ","""[Quần tây, Áo sơ mi, váy]""","""[]""","""[]""","""[Nữ]"""
"Đề xuất cho tôi vài món quà tặng bạn tôi mặc đi.","""[Quần tây, quần jean, Áo sơ mi, áo thun, váy]""","""[]""","""[]""","""[]"""
"Đề xuất cho tôi vài món quà tặng bạn gái tôi mặc đi.","""[Quần tây, quần jean, Áo sơ mi, áo thun, váy]""","""[]""","""[]""","""[Nữ]"""
"Bạn tôi tốt nghiệp đại học nên mua đồ gì tặng nó để mặc đi làm đây.","""[Quần tây, quần jean, Áo sơ mi, áo thun, váy]""","""[]""","""[]""","""[]"""
"Bạn tôi tốt nghiệp đại học nên mua đồ gì tặng nó để mặc đi làm đây. Đồ cho nam nha","""[Quần tây, quần jean, Áo sơ mi, áo thun]""","""[]""","""[]""","""[Nam]"""
"Hè này nóng quá mua gì tặng con trai tôi để nó mặc cho mát để đi chơi đi","""[quần short, áo thun]""","""[Màu lạnh]""","""[]""","""[Nam]"""
"Hè này nóng quá mua gì tặng con trai tôi để nó mặc cho mát để đi chơi đi. Thằng bé hơi mập","""[quần short, áo thun]""","""[Màu lạnh]""","""[Lớn, Rất lớn]""","""[Nam]"""
"Hè này nóng quá mua gì tặng con trai tôi để nó mặc cho mát để đi chơi đi. Thằng bé hơi gầy","""[quần short, áo thun]""","""[Màu lạnh]""","""[Nhỏ, Rất nhỏ]""","""[Nam]"""
============================Dự tiệc============================================================
"Tôi là nam cần mặc gì để đi dự tiệc sinh nhật","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Là nam cần mua gì để đi dự tiệc sinh nhật","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Trang phục cho nam dự sinh nhật ở nhà hàng","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Tôi cần đi dự sinh nhật bạn thân","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi, váy]""","""[ ]""","""[]""","""[]"""
"Tôi cần đồ để dự tiệc sinh nhật ngoài trời vào ban ngày","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi, váy]""","""[Màu lạnh]""","""[]""","""[]"""
"Nam muốn trang phục lịch sự cho tiệc sinh nhật và mình hơi ốm","""[quần tây, áo sơ mi]""","""[]""","""[Nhỏ]""","""[Nam]"""
"Nam muốn đồ sặc sỡ để dự tiệc sinh nhật","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi]""","""[Màu sáng]""","""[]""","""[Nam]"""
"Nam muốn trang phục lịch sự cho tiệc sinh nhật và mình hơi mập","""[quần tây, áo sơ mi]""","""[]""","""[Trung bình, Lớn]""","""[Nam]"""
"Nữ cần trang phục dự tiệc sinh nhật","""[váyquần dài, quần tây, quần jean, áo thun, áo sơ mi]""","""[]""","""[]""","""[Nữ]"""
