description,subcategories,colors,sizes,genders
"quần dài","""[quần dài, quần tây, quần jean]""","""[]""","""[]""","""[]""" 
"quần jean","""[quần jean]""","""[]""","""[]""","""[]""" 
"quần tây","""[quần tây]""","""[]""","""[]""","""[]""" 
"quần short","""[quần short]""","""[]""","""[]""","""[]""" 
"áo sơ mi","""[áo sơ mi]""","""[]""","""[]""","""[]""" 
"áo thun","""[áo thun]""","""[]""","""[]""","""[]""" 
"áo ngắn tay","""[áo thun, áo polo, áo ba lỗ]""","""[]""","""[]""","""[]""" 
"áo ba lỗ","""[áo ba lỗ]""","""[]""","""[]""","""[]""" 
"áo khoác","""[áo khoác]""","""[]""","""[]""","""[]""" 
"áo polo","""[áo polo]""","""[]""","""[]""","""[]""" 
"áo vest","""[áo vest]""","""[]""","""[]""","""[]""" 
"váy","""[váy]""","""[]""","""[]""","""[]""" 
"đồ ngủ","""[đồ ngủ]""","""[]""","""[]""","""[]""" 
"bộ đồ ngủ","""[đồ ngủ]""","""[]""","""[]""","""[]""" 
"Đồ thể thao","""[đồ thể thao]""","""[]""","""[]""","""[]""" 
"Đồ đá banh","""[đồ thể thao]""","""[]""","""[]""","""[]""" 
"Đồ đá bóng","""[đồ thể thao]""","""[]""","""[]""","""[]""" 
"Đồ tập thể dục","""[đồ thể thao]""","""[]""","""[]""","""[]""" 
"Tôi cần áo khoác","""[áo khoác]""","""[]""","""[]""","""[]""" 
"Tôi cần tìm áo","""[áo thun, áo sơ mi, áo polo, áo khoác, áo ba lỗ, áo vest]""","""[]""","""[]""","""[]""" 
"Bạn có áo nào đẹp không","""[áo thun, áo sơ mi, áo polo, áo khoác, áo ba lỗ, áo vest]""","""[]""","""[]""","""[]""" 
"Tôi cần tìm áo sơ mi","""[áo sơ mi]""","""[]""","""[]""","""[]""" 
"Bạn có áo sơ mi không","""[áo sơ mi]""","""[]""","""[]""","""[]""" 
"Shop có áo nào đẹp không","""[áo thun, áo sơ mi, áo polo, áo khoác, áo ba lỗ, áo vest]""","""[]""","""[]""","""[]""" 
"Shop có quần nào đẹp không","""[quần tây, quần jean, quần short]""","""[]""","""[]""","""[]""" 
"Tôi cần mua quần dài để đi dự sinh nhật","""[quần dài, quần tây, quần jean]""","""[]""","""[]""","""[]""" 
"Tôi cần áo khoác để đi dự sinh nhật","""[áo khoác]""","""[]""","""[]""","""[]""" 
"Tôi cần áo khoác để đi chơi","""[áo khoác]""","""[]""","""[]""","""[]""" 
"Tôi cần tìm áo khoác","""[áo khoác]""","""[]""","""[]""","""[]"""  
"Có áo khoác đẹp không","""[áo khoác]""","""[]""","""[]""","""[]"""  
"Áo khoác đẹp","""[áo khoác]""","""[]""","""[]""","""[]"""  
"Tôi cần tìm áo vest","""[áo vest]""","""[]""","""[]""","""[]"""  
"Có áo vest nào đẹp không","""[áo vest]""","""[]""","""[]""","""[]"""  
"Mùa hè này nóng quá và tôi cần mua quần dài để đi dự sinh nhật","""[quần dài, quần tây, quần jean]""","""[Màu lạnh]""","""[]""","""[]""" 
"Mùa hè này nóng quá và tôi cần mua quần dài để đi học ","""[quần dài, quần tây, quần jean]""","""[Màu lạnh]""","""[]""","""[]""" 
"tôi là nữ cần mua quần dài để đi dự sinh nhật","""[quần dài, quần tây, quần jean]""","""[]""","""[]""","""[Nữ]"""
"Tôi cần mua áo khoác để đi phượt","""[áo khoác]""","""[]""","""[]""","""[]"""
"Nam cần quần tây và áo sơ mi cho buổi họp","""[quần tây, áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Con gái muốn mua quần tây để đi làm","""[quần tây]""","""[]""","""[]""","""[Nữ]"""
"Nữ muốn tìm quần tây cho công việc văn phòng","""[quần tây]""","""[]""","""[]""","""[Nữ]"""
"Tôi cần quần tây và áo sơ mi để tham dự buổi họp quan trọng","""[quần tây, áo sơ mi]""","""[]""","""[]""","""[]"""
"Nam muốn tìm quần tây và áo sơ mi để dự lễ kỷ niệm","""[quần tây, áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Tôi muốn áo khoác và quần tây cho buổi tiệc ngoài trời buổi tối","""[]""","""[ ]""","""[]""","""[]"""
"Nam cần áo sơ mi và quần tây cho buổi tiệc cưới","""[áo sơ mi, quần tây]""","""[]""","""[]""","""[Nam]"""
"Nam cần mua áo sơ mi và quần tây để đi dự hội nghị","""[áo sơ mi, quần tây]""","""[]""","""[]""","""[Nam]"""
"Nam cần áo sơ mi để đi làm","""[áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Nữ cần mua áo sơ mi trắng để đi làm","""[áo sơ mi]""","""[Màu sáng]""","""[]""","""[Nữ]"""
"Nam muốn mua áo sơ mi để đi dự tiệc","""[áo sơ mi]""","""[ ]""","""[]""","""[Nam]"""
"Tôi muốn mua áo sơ mi để đi công tác","""[áo sơ mi]""","""[]""","""[]""","""[]"""
